ORIGEN;NUM_IDENT;COD_CLIENTE;FEC_PRORROGA;ABO_VIGENTES;ABO_NOVIGENTES;PERDIDA_BENEF;FEC_PERDIDA_BENEF;ACCOUNT_MANAGER;DIRECTOR_CUENTA;TRAMO_HR;CONTACTO;ANTIGUEDAD_VTA;TIPO_TOP;REPACTACION;CONTENCION;CONT_MES;DESC_PORCENTAJE;DESC_MONTO;DESC_MES;CUOTA_EQ;CUOTA_EQ_MONTO;MES_BAJA;TENENCIA_PROD;FEC_PROCESO
SCL;7448541-3;26114287;13-11-2015;0;17;NO;;Daniela Torres;Nosvaldo Reyes;15:00 - 16:00;1;5 y mas;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;7448541-3;26114287;13-11-2015;0;17;NO;;Daniela Torres;Nosvaldo Reyes;15:00 - 16:00;1;5 y mas;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
ATIS;7448541-3;56410400-43169458;;0;0;NO;;Daniela Torres;Nosvaldo Reyes;15:00 - 16:00;1;;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
ATIS;7448541-3;56410400-43169458;;0;0;NO;;Daniela Torres;Nosvaldo Reyes;15:00 - 16:00;1;;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;76108842-4;28563082;;0;1;NO;;;;15:00 - 16:00;1;1 a¤o;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;76111725-4;29460861;;0;1;NO;;;;15:00 - 16:00;1;3 a¤os;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;76111725-4;22696449;;0;5;NO;;;;15:00 - 16:00;1;3 a¤os;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;76111725-4;22696449;;0;5;NO;;;;15:00 - 16:00;1;3 a¤os;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
ATIS;76125254-2;66775861-47613904;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
ATIS;76125254-2;66775861-47613904;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
ATIS;76125254-2;66775861-47613904;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;76128054-6;28514073;;0;1;NO;;;;15:00 - 16:00;1;1 a¤o;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;76128054-6;28584830;;0;1;NO;;;;15:00 - 16:00;1;1 a¤o;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;76128054-6;28584830;;0;1;NO;;;;15:00 - 16:00;1;1 a¤o;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;76128054-6;29041915;;0;5;NO;;;;15:00 - 16:00;1;1 a¤o;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;76128054-6;29041915;;0;5;NO;;;;15:00 - 16:00;1;1 a¤o;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;76128054-6;29041915;;0;5;NO;;;;15:00 - 16:00;1;1 a¤o;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
ATIS;76128054-6;70382017-45129134;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
ATIS;76128054-6;70382017-45129134;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;10;10000;;3;45000;ENERO;STB-BA-TV;11-11-2015
ATIS;76128054-6;70382017-44540331;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;10;10000;;3;45000;ENERO;STB-BA-TV;11-11-2015
ATIS;76128054-6;70382017-98671477;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;10;10000;;3;45000;ENERO;STB-BA-TV;11-11-2015
ATIS;76128054-6;70382017-24923013;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;10;10000;;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;76130972-2;26155701;;0;1;NO;;;;15:00 - 16:00;1;2 a¤os;MONTO;NO;;;10;10000;;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;76134702-0;20992681;;1;0;NO;;;;15:00 - 16:00;1;4 a¤os;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
SCL;76134702-0;20992681;;1;0;NO;;;;15:00 - 16:00;1;4 a¤os;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
SCL;76134702-0;27377250;;1;0;NO;;;;15:00 - 16:00;1;1 a¤o;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
SCL;76134702-0;27377250;;1;0;NO;;;;15:00 - 16:00;1;1 a¤o;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
ATIS;76134702-0;72600963-84694861;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
ATIS;76134702-0;72600963-79579503;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
ATIS;76134702-0;72600963-79579503;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
SCL;76136200-3;28154341;;0;0;NO;;Evelyn Alonzo;Nosvaldo Reyes;15:00 - 16:00;1;;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
SCL;76136200-3;28509693;18-12-2015;35;0;NO;;Evelyn Alonzo;Nosvaldo Reyes;15:00 - 16:00;1;5 y mas;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
SCL;76141417-8;27642981;;0;7;NO;;;;15:00 - 16:00;1;5 y mas;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
ATIS;76141417-8;14297912-72250062;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
SCL;76143653-8;29293681;08-12-2015;25;0;NO;;;;15:00 - 16:00;1;5 y mas;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
SCL;76387611-K;28801311;;6;3;NO;;;;15:00 - 16:00;1;2 a¤os;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
SCL;76387611-K;28801311;;6;3;NO;;;;15:00 - 16:00;1;2 a¤os;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
SCL;76387611-K;29260527;;0;2;NO;;;;15:00 - 16:00;1;2 a¤os;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
SCL;76387611-K;30919403;13-11-2015;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
SCL;76387611-K;29244335;;0;1;NO;;;;15:00 - 16:00;1;2 a¤os;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
SCL;76082923-4;22645474;;0;1;NO;;;;15:00 - 16:00;1;3 a¤os;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
SCL;76082923-4;22645474;;0;1;NO;;;;15:00 - 16:00;1;3 a¤os;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
ATIS;76084641-4;92722289-73281337;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
ATIS;76084641-4;92722289-73281337;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;10;10000;;3;45000;;STB-BA-TV;11-11-2015
SCL;76088171-6;27189805;;0;156;NO;;;;15:00 - 16:00;1;2 a¤os;MONTO;NO;;;;;;3;45000;;STB-BA-TV;11-11-2015
SCL;76088171-6;27189805;;0;156;NO;;;;15:00 - 16:00;1;2 a¤os;MONTO;NO;;;;;;3;45000;;STB-BA-TV;11-11-2015
ATIS;76088171-6;76988260-71447179;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;3;45000;;STB-BA-TV;11-11-2015
ATIS;76088171-6;76988260-71447179;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;3;45000;;STB-BA-TV;11-11-2015
SCL;76095301-6;27932454;;0;1;NO;;;;15:00 - 16:00;1;1 a¤o;MONTO;NO;;;;;;3;45000;;STB-BA-TV;11-11-2015
SCL;76095301-6;27932454;;0;1;NO;;;;15:00 - 16:00;1;1 a¤o;MONTO;NO;;;;;;3;45000;;STB-BA-TV;11-11-2015
SCL;76097855-8;28250799;14-11-2015;1;0;NO;;;;15:00 - 16:00;1;1 a¤o;MONTO;NO;;;;;;3;45000;;STB-BA-TV;11-11-2015
SCL;76254902-6;30418527;13-12-2015;30;0;NO;;;;15:00 - 16:00;1;5 y mas;MONTO;NO;;;;;;3;45000;;STB-BA-TV;11-11-2015
SAC;76254902-6;762549026;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;3;45000;;STB-BA-TV;11-11-2015
SAC;76254902-6;762549026;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;3;45000;;STB-BA-TV;11-11-2015
SAC;76254902-6;762549026;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;3;45000;;STB-BA-TV;11-11-2015
SAC;76254902-6;762549026;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;3;45000;;STB-BA-TV;11-11-2015
SAC;76254902-6;762549026;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;3;45000;;STB-BA-TV;11-11-2015
SAC;76254902-6;762549026;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;3;45000;;STB-BA-TV;11-11-2015
SAC;76254902-6;762549026;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;3;45000;;STB-BA-TV;11-11-2015
SAC;76254902-6;762549026;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76254902-6;762549026;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76254902-6;762549026;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;77207220-1;27946789;;0;15;NO;;;;15:00 - 16:00;1;5 y mas;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;77561660-1;30176668;15-11-2015;2;0;NO;;Karen Piagneri;Luis Badilla;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;77561660-1;30176668;15-11-2015;2;0;NO;;Karen Piagneri;Luis Badilla;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
ATIS;77561660-1;561595046-75510668;;0;0;NO;;Karen Piagneri;Luis Badilla;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;77564260-2;30228910;;23;0;NO;;Sergio Orellana;Nosvaldo Reyes;15:00 - 16:00;1;1 a¤o;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;77564260-2;30228910;;23;0;NO;;Sergio Orellana;Nosvaldo Reyes;15:00 - 16:00;1;1 a¤o;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
ATIS;77564260-2;350219400-49628745;;0;0;NO;;Sergio Orellana;Nosvaldo Reyes;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
ATIS;77606390-8;353058500-67045016;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
ATIS;77606390-8;353058500-67045016;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76661640-2;29396769;19-11-2015;6;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76661640-2;29835089;17-11-2015;4;36;NO;;;;15:00 - 16:00;1;6 a 12 meses;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76661640-2;29835089;17-11-2015;4;36;NO;;;;15:00 - 16:00;1;6 a 12 meses;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
ATIS;76661640-2;24397017-26904636;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
ATIS;76661640-2;24397017-90189709;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
ATIS;76661640-2;24397017-75204431;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76661640-2;766616402;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76661640-2;766616402;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76661640-2;766616402;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76661640-2;766616402;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76661640-2;766616402;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76661640-2;766616402;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76661640-2;766616402;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76661640-2;766616402;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76661640-2;766616402;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76661640-2;766616402;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76661640-2;766616402;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76661640-2;766616402;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76661640-2;766616402;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76661640-2;766616402;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76661640-2;766616402;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76661640-2;766616402;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SAC;76661640-2;766616402;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76036030-9;24337674;;0;1;NO;;Ignacio Robles;Luis Badilla;15:00 - 16:00;1;3 a¤os;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
ATIS;76036030-9;872551400-2667800;;0;0;NO;;Ignacio Robles;Luis Badilla;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
ATIS;76036030-9;872551400-991667800;;0;0;NO;;Ignacio Robles;Luis Badilla;15:00 - 16:00;1;;MONTO;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76674910-0;27492294;;0;10;NO;;;;15:00 - 16:00;1;5 y mas;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76674910-0;27492294;;0;10;NO;;;;15:00 - 16:00;1;5 y mas;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76674910-0;27492294;;0;10;NO;;;;15:00 - 16:00;1;5 y mas;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76674910-0;27492294;;0;10;NO;;;;15:00 - 16:00;1;5 y mas;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76674910-0;27492294;;0;10;NO;;;;15:00 - 16:00;1;5 y mas;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76674910-0;27492294;;0;10;NO;;;;15:00 - 16:00;1;5 y mas;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76674910-0;27492294;;0;10;NO;;;;15:00 - 16:00;1;5 y mas;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76674910-0;27492294;;0;10;NO;;;;15:00 - 16:00;1;5 y mas;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76041266-K;28979541;28-11-2015;15;3;NO;;Karen Velasquez;Luis Badilla;15:00 - 16:00;1;5 y mas;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76041266-K;29316782;;0;1;NO;;Karen Velasquez;Luis Badilla;15:00 - 16:00;1;5 y mas;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76041266-K;23227733;;0;1;NO;;Karen Velasquez;Luis Badilla;15:00 - 16:00;1;3 a¤os;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76041266-K;23227733;;0;1;NO;;Karen Velasquez;Luis Badilla;15:00 - 16:00;1;3 a¤os;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76041266-K;23227733;;0;1;NO;;Karen Velasquez;Luis Badilla;15:00 - 16:00;1;3 a¤os;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76041266-K;29316580;;0;1;NO;;Karen Velasquez;Luis Badilla;15:00 - 16:00;1;5 y mas;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76041266-K;29316350;;0;1;NO;;Karen Velasquez;Luis Badilla;15:00 - 16:00;1;5 y mas;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76049961-7;28522937;;0;10;NO;;;;15:00 - 16:00;1;5 y mas;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76049961-7;22071945;;0;1;NO;;;;15:00 - 16:00;1;4 a¤os;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76049961-7;19788062;;0;1;NO;;;;15:00 - 16:00;1;4 a¤os;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76049961-7;19788062;;0;1;NO;;;;15:00 - 16:00;1;4 a¤os;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76049961-7;19788062;;0;1;NO;;;;15:00 - 16:00;1;4 a¤os;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76049961-7;19788062;;0;1;NO;;;;15:00 - 16:00;1;4 a¤os;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76049961-7;19788062;;0;1;NO;;;;15:00 - 16:00;1;4 a¤os;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76049961-7;19788062;;0;1;NO;;;;15:00 - 16:00;1;4 a¤os;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
SCL;76049961-7;20996991;;0;1;NO;;;;15:00 - 16:00;1;4 a¤os;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
ATIS;76049961-7;47563702-83606252;;0;0;NO;;;;15:00 - 16:00;1;;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
ATIS;76049961-7;47563702-83606252;;0;0;NO;;;;15:00 - 16:00;1;;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
ATIS;76049961-7;47563702-83606252;;0;0;NO;;;;15:00 - 16:00;1;;LINEAS;NO;;;;;;5;50000;;STB-BA-TV;11-11-2015
ATIS;76051618-K;32522538-59396320;;0;0;NO;;;;15:00 - 16:00;1;;LINEAS;NO;;;;;;;;;STB-BA-TV;11-11-2015
SCL;76054701-8;30759578;25-11-2015;12;0;NO;;;;15:00 - 16:00;1;5 y mas;LINEAS;NO;;;;;;;;;STB-BA-TV;11-11-2015
SCL;76055814-1;21840805;;0;1;NO;;;;15:00 - 16:00;1;4 a¤os;LINEAS;NO;;;;;;;;;STB-BA-TV;11-11-2015
SCL;76055814-1;21840805;;0;1;NO;;;;15:00 - 16:00;1;4 a¤os;LINEAS;NO;;;;;;;;;STB-BA-TV;11-11-2015
ATIS;76055814-1;49551770-37146543;;0;0;NO;;;;15:00 - 16:00;1;;LINEAS;NO;;;;;;;;;STB-BA-TV;11-11-2015
ATIS;76055814-1;49551770-97059862;;0;0;NO;;;;15:00 - 16:00;1;;LINEAS;NO;;;;;;;;;STB-BA-TV;11-11-2015
SCL;76058391-K;27389718;;0;20;NO;;;;15:00 - 16:00;1;3 a¤os;LINEAS;NO;;;;;;;;;STB-BA-TV;11-11-2015
SCL;76058391-K;29319297;25-11-2015;12;0;NO;;;;15:00 - 16:00;1;3 a¤os;LINEAS;NO;;;;;;;;;STB-BA-TV;11-11-2015
SCL;78027430-1;28104786;;0;1;NO;;Paola Gonzalez;Luis Badilla;15:00 - 16:00;1;2 a¤os;LINEAS;NO;;;;;;;;;STB-BA-TV;11-11-2015
SCL;78027430-1;28104786;;0;1;NO;;Paola Gonzalez;Luis Badilla;15:00 - 16:00;1;2 a¤os;LINEAS;NO;;;;;;;;;STB-BA-TV;11-11-2015
SCL;78027430-1;28104786;;0;1;NO;;Paola Gonzalez;Luis Badilla;15:00 - 16:00;1;2 a¤os;LINEAS;NO;;;;;;;;;STB-BA-TV;11-11-2015
SCL;78027430-1;29434681;;0;11;NO;;Paola Gonzalez;Luis Badilla;15:00 - 16:00;1;5 y mas;LINEAS;NO;;;;;;;;;STB-BA-TV;11-11-2015
